Reference Module 3  (RM3) Acess: https://energy.sandia.gov/energy/renewable-energy/water-power/technology-development/reference-model-project-rmp/,,,,,,,,,,,,,,,,
rated capacity kw,300,,,,,,,,,,,,,,,
mechanical to electrical energy conversion efficiency,0.8,,,,,,,,,,,,,,,
losses due to device availability,0.95,,,,,,,,,,,,,,,
losses due to transmission efficiency,0.98,,,,,,,,,,,,,,,
minimum depth [m],40,,,,,,,,,,,,,,,
maximum depth [m],100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mechanical Power Matrix (Row: Hs, Column: Tp),,,,,,,,,,,,,,,
,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5
0.25,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0.75,4,7,9,11,12,12,11,9,8,6,5,4,3,3,2,2
1.25,11,18,26,31,34,32,29,25,21,17,14,12,9,8,6,5
1.75,22,36,50,60,64,62,56,48,40,33,27,22,18,15,13,10
2.25,36,59,82,99,105,101,90,78,65,54,44,36,30,25,20,17
2.75,54,88,121,145,154,148,133,114,96,79,65,53,44,36,30,25
3.25,75,123,168,201,212,203,182,157,131,109,89,73,60,50,42,35
3.75,100,163,222,264,277,265,238,205,172,142,117,96,79,66,55,46
4.25,128,208,283,335,351,335,301,259,218,180,148,122,100,83,69,58
4.75,159,259,352,414,433,413,370,319,268,222,183,150,124,103,86,72
5.25,194,315,426,501,522,497,445,384,323,268,220,181,150,124,104,87
5.75,232,377,508,595,618,588,526,454,382,317,261,215,178,148,123,104
6.25,274,443,596,696,722,685,614,529,446,370,305,252,208,173,144,121
6.75,319,515,691,804,832,789,706,610,514,427,352,291,240,200,167,140
7.25,367,592,792,919,949,899,805,695,586,487,402,332,275,228,191,161
7.75,418,674,899,1040,1072,1015,909,785,662,551,455,376,311,259,217,182
8.25,473,760,1013,1169,1202,1137,1018,880,743,618,511,422,350,291,244,205
8.75,530,852,1132,1303,1339,1265,1132,979,827,689,570,471,391,325,273,230
9.25,591,949,1257,1444,1481,1399,1252,1083,915,763,632,523,433,361,303,255
9.75,655,1050,1388,1591,1630,1538,1377,1191,1008,841,696,576,478,399,334,282
